127.0.0.1 - - [30/Nov/2015:14:15:45 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:46 -0500] "GET /ArtAuction/ HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:46 -0500] "GET /ArtAuction/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:46 -0500] "GET /ArtAuction/css/heroic-features.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:46 -0500] "GET /ArtAuction/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:46 -0500] "GET /ArtAuction/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:49 -0500] "GET /ArtAuction/login.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:49 -0500] "GET /ArtAuction/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:49 -0500] "GET /ArtAuction/css/Custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:49 -0500] "GET /ArtAuction/auction.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:15:58 -0500] "POST /ArtAuction/LoginServlet HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:05 -0500] "GET /ArtAuction/MailDispatcherServlet HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:05 -0500] "GET /ArtAuction/css/Custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:05 -0500] "GET /ArtAuction/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:05 -0500] "GET /ArtAuction/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:05 -0500] "GET /ArtAuction/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:11 -0500] "GET /ArtAuction/AuctionListServlet HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:11 -0500] "GET /ArtAuction/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:11 -0500] "GET /ArtAuction/css/heroic-features.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:11 -0500] "GET /ArtAuction/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:11 -0500] "GET /ArtAuction/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:11 -0500] "GET /ArtAuction/auction.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:11 -0500] "GET /ArtAuction/Image?id=125 HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:11 -0500] "GET /ArtAuction/Image?id=124 HTTP/1.1" 500 1533
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:18 -0500] "GET /ArtAuction/LanguageServlet?language=french&url=http://localhost:8080/ArtAuction/AuctionListServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:20 -0500] "GET /ArtAuction/AuctionListServlet HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:21 -0500] "GET /ArtAuction/Image?id=125 HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:21 -0500] "GET /ArtAuction/Image?id=124 HTTP/1.1" 500 1533
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:37 -0500] "GET /ArtAuction/LanguageServlet?language=english&url=http://localhost:8080/ArtAuction/AuctionListServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:40 -0500] "GET /ArtAuction/AuctionListServlet HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:40 -0500] "GET /ArtAuction/Image?id=125 HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:40 -0500] "GET /ArtAuction/Image?id=124 HTTP/1.1" 200 6118
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:50 -0500] "GET /ArtAuction/DutchAuctionServlet?auctid=17 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:50 -0500] "GET /ArtAuction/redirect.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:54 -0500] "GET /ArtAuction/AuctionListServlet HTTP/1.1" 200 4893
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:54 -0500] "GET /ArtAuction/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:54 -0500] "GET /ArtAuction/css/heroic-features.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:54 -0500] "GET /ArtAuction/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:54 -0500] "GET /ArtAuction/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:14:16:54 -0500] "GET /ArtAuction/auction.png HTTP/1.1" 304 -
